[italic] uni1E15: added inherited anchor class 2 = (158, -108) from 'e'
[italic] uni1E16: added inherited anchor class 2 = (269, -107) from 'E'
[italic] uni1E17: added inherited anchor class 2 = (158, -108) from 'e'
[italic] uni1E1E: added inherited anchor class 2 = (131, -111) from 'F'
[italic] uni1E1F: added inherited anchor class 2 = (30, -319) from 'f'
[italic] uni1E20: added inherited anchor class 2 = (345, -110) from 'G'
[italic] uni1E21: added inherited anchor class 2 = (197, -319) from 'g'
[italic] uni1E22: added inherited anchor class 2 = (320, -107) from 'H'
[italic] uni1E23: added inherited anchor class 2 = (229, -111) from 'h'
[italic] uni1E26: added inherited anchor class 2 = (320, -107) from 'H'
[italic] uni1E27: added inherited anchor class 2 = (229, -111) from 'h'
[italic] uni1E2E: added inherited anchor class 2 = (127, -109) from 'I'
[italic] uni1E2F: added inherited anchor class 2 = (136, -107) from 'i'
[italic] uni1E30: added inherited anchor class 2 = (292, -110) from 'K'
[italic] uni1E31: added inherited anchor class 2 = (223, -107) from 'k'
[italic] uni1E3E: added inherited anchor class 2 = (363, -110) from 'M'
[italic] uni1E3F: added inherited anchor class 2 = (382, -105) from 'm'
[italic] uni1E40: added inherited anchor class 2 = (363, -110) from 'M'
[italic] uni1E41: added inherited anchor class 2 = (382, -105) from 'm'
[italic] uni1E44: added inherited anchor class 2 = (328, -109) from 'N'
[italic] uni1E45: added inherited anchor class 2 = (235, -111) from 'n'
[italic] uni1E4C: added inherited anchor class 2 = (310, -110) from 'O'
[italic] uni1E4D: added inherited anchor class 2 = (186, -107) from 'o'
[italic] uni1E4E: added inherited anchor class 2 = (310, -110) from 'O'
[italic] uni1E4F: added inherited anchor class 2 = (186, -107) from 'o'
[italic] uni1E50: added inherited anchor class 2 = (310, -110) from 'O'
[italic] uni1E51: added inherited anchor class 2 = (186, -107) from 'o'
[italic] uni1E52: added inherited anchor class 2 = (310, -110) from 'O'
[italic] uni1E53: added inherited anchor class 2 = (186, -107) from 'o'
[italic] uni1E54: added inherited anchor class 2 = (140, -110) from 'P'
[italic] uni1E55: added inherited anchor class 2 = (248, -110) from 'p'
[italic] uni1E56: added inherited anchor class 2 = (140, -110) from 'P'
[italic] uni1E57: added inherited anchor class 2 = (248, -110) from 'p'
[italic] uni1E58: added inherited anchor class 2 = (248, -111) from 'R'
[italic] uni1E59: added inherited anchor class 2 = (113, -110) from 'r'
[italic] uni1E60: added inherited anchor class 2 = (204, -111) from 'S'
[italic] uni1E61: added inherited anchor class 2 = (169, -111) from 's'
[italic] uni1E64: added inherited anchor class 2 = (204, -111) from 'S'
[italic] uni1E65: added inherited anchor class 2 = (169, -111) from 's'
[italic] uni1E66: added inherited anchor class 2 = (204, -111) from 'S'
[italic] uni1E67: added inherited anchor class 2 = (169, -111) from 's'
[italic] uni1E6A: added inherited anchor class 2 = (277, -109) from 'T'
[italic] uni1E6B: added inherited anchor class 2 = (133, -107) from 't'
[italic] uni1E78: added inherited anchor class 2 = (308, -109) from 'U'
[italic] uni1E79: added inherited anchor class 2 = (226, -111) from 'u'
[italic] uni1E7A: added inherited anchor class 2 = (308, -109) from 'U'
[italic] uni1E7B: added inherited anchor class 2 = (226, -111) from 'u'
[italic] uni1E7C: added inherited anchor class 2 = (263, -110) from 'V'
[italic] uni1E7D: base 'v' has no base anchors; SKIPPED
[italic] Wgrave: added inherited anchor class 2 = (439, -107) from 'W'
[italic] wgrave: added inherited anchor class 2 = (355, -110) from 'w'
[italic] Wacute: added inherited anchor class 2 = (439, -107) from 'W'
[italic] wacute: added inherited anchor class 2 = (355, -110) from 'w'
[italic] Wdieresis: added inherited anchor class 2 = (439, -107) from 'W'
[italic] wdieresis: added inherited anchor class 2 = (355, -110) from 'w'
[italic] uni1E86: added inherited anchor class 2 = (439, -107) from 'W'
[italic] uni1E87: added inherited anchor class 2 = (355, -110) from 'w'
[italic] uni1E8A: added inherited anchor class 2 = (287, -107) from 'X'
[italic] uni1E8B: added inherited anchor class 2 = (224, -110) from 'x'
[italic] uni1E8C: added inherited anchor class 2 = (287, -107) from 'X'
[italic] uni1E8D: added inherited anchor class 2 = (224, -110) from 'x'
[italic] uni1E8E: added inherited anchor class 2 = (270, -110) from 'Y'
[italic] uni1E8F: added inherited anchor class 2 = (368, -107) from 'y'
[italic] uni1E90: added inherited anchor class 2 = (267, -107) from 'Z'
[italic] uni1E97: added inherited anchor class 2 = (133, -107) from 't'
[italic] uni1E98: added inherited anchor class 2 = (355, -110) from 'w'
[italic] uni1E99: added inherited anchor class 2 = (368, -107) from 'y'
[italic] uni1EA2: added inherited anchor class 2 = (308, -108) from 'A'
[italic] uni1EA3: added inherited anchor class 2 = (251, -110) from 'a'
[italic] uni1EA4: added inherited anchor class 2 = (308, -108) from 'A'
[italic] uni1EA5: added inherited anchor class 2 = (251, -110) from 'a'
[italic] uni1EA6: added inherited anchor class 2 = (308, -108) from 'A'
[italic] uni1EA7: added inherited anchor class 2 = (251, -110) from 'a'
[italic] uni1EA8: added inherited anchor class 2 = (308, -108) from 'A'
[italic] uni1EA9: added inherited anchor class 2 = (251, -110) from 'a'
[italic] uni1EAA: added inherited anchor class 2 = (308, -108) from 'A'
[italic] uni1EAB: added inherited anchor class 2 = (251, -110) from 'a'
[italic] uni1EAE: added inherited anchor class 2 = (308, -108) from 'A'
[italic] uni1EAF: added inherited anchor class 2 = (251, -110) from 'a'
[italic] uni1EB0: added inherited anchor class 2 = (308, -108) from 'A'
[italic] uni1EB1: added inherited anchor class 2 = (251, -110) from 'a'
[italic] uni1EB2: added inherited anchor class 2 = (308, -108) from 'A'
[italic] uni1EB3: added inherited anchor class 2 = (251, -110) from 'a'
[italic] uni1EB4: added inherited anchor class 2 = (308, -108) from 'A'
[italic] uni1EB5: added inherited anchor class 2 = (251, -110) from 'a'
[italic] uni1EBA: added inherited anchor class 2 = (269, -107) from 'E'
[italic] uni1EBB: added inherited anchor class 2 = (158, -108) from 'e'
[italic] uni1EBC: added inherited anchor class 2 = (269, -107) from 'E'
[italic] uni1EBD: added inherited anchor class 2 = (158, -108) from 'e'
[italic] uni1EBE: added inherited anchor class 2 = (269, -107) from 'E'
[italic] uni1EBF: added inherited anchor class 2 = (158, -108) from 'e'
[italic] uni1EC0: added inherited anchor class 2 = (269, -107) from 'E'
[italic] uni1EC1: added inherited anchor class 2 = (158, -108) from 'e'
[italic] uni1EC2: added inherited anchor class 2 = (269, -107) from 'E'
[italic] uni1EC3: added inherited anchor class 2 = (158, -108) from 'e'
[italic] uni1EC4: added inherited anchor class 2 = (269, -107) from 'E'
[italic] uni1EC5: added inherited anchor class 2 = (158, -108) from 'e'
[italic] uni1EC8: added inherited anchor class 2 = (127, -109) from 'I'
